model,test_acc,balanced_acc,macro_f1,weighted_f1,dem_prec,dem_recall,dem_f1,dem_support,non_dem_prec,non_dem_recall,non_dem_f1,non_dem_support,tp_demented,fp_demented,fn_demented,tn_non_demented,predicted_demented
Baseline ML,0.7887931034482759,0.49478260869565216,0.494643254056457,0.7971024212277057,0.1,0.12,0.10909090909090909,25.0,0.8910891089108911,0.8695652173913043,0.8801955990220048,207.0,3,27,22,180,30
CNN Transfer Learning,0.8189655172413793,0.5468599033816425,0.5451829723674384,0.8220075455177566,0.18518518518518517,0.2,0.19230769230769232,25.0,0.9024390243902439,0.893719806763285,0.8980582524271845,207.0,5,22,20,185,27
ViT Transfer Learning,0.8922413793103449,0.5,0.4715261958997722,0.8414303668211452,0.0,0.0,0.0,25.0,0.8922413793103449,1.0,0.9430523917995444,207.0,0,0,25,207,0
MONAI 2D ResNet18,0.6551724137931034,0.5781642512077294,0.5042735042735043,0.7188328912466844,0.1518987341772152,0.48,0.23076923076923078,25.0,0.9150326797385621,0.6763285024154589,0.7777777777777778,207.0,12,67,13,140,79
BiomedCLIP Embeddings,0.7241379310344828,0.5992270531400966,0.5432508920881014,0.7687402146103028,0.18032786885245902,0.44,0.2558139534883721,25.0,0.9181286549707602,0.7584541062801933,0.8306878306878307,207.0,11,50,14,157,61
CNN 2.5D ResNet18,0.7974137931034483,0.587536231884058,0.5683806357123065,0.8150317282873822,0.21052631578947367,0.32,0.25396825396825395,25.0,0.9123711340206185,0.855072463768116,0.8827930174563591,207.0,8,30,17,177,38
